year,value,income_group_encoded,groupscommodity_encoded,region_encoded,politicsest_encoded
18.0,16.378057107917634,3,1,1,1
19.0,16.474283046064432,3,1,1,1
20.0,16.530543059308194,3,1,1,1
21.0,16.585990871571866,3,1,1,1
17.0,10.009242990201992,2,1,2,1
18.0,10.634917506521377,2,1,2,1
19.0,10.732715997033832,2,1,2,1
20.0,9.642836819135377,2,1,2,1
21.0,9.741615472609583,2,1,2,1
17.0,8.006700845440367,1,1,6,1
18.0,7.340186835320115,1,1,6,1
19.0,7.496097345175956,1,1,6,1
20.0,8.010027528481734,1,1,6,1
21.0,8.003363058629947,1,1,6,1
20.0,0.0,2,1,6,1
21.0,10.535051839784135,2,1,6,1
17.0,14.97707604931644,1,1,6,1
18.0,13.238902973643576,1,1,6,1
19.0,12.945509246958263,1,1,6,1
20.0,0.0,1,1,6,1
21.0,13.764534055498126,1,1,6,1
17.0,13.777705881757278,1,1,6,1
18.0,14.843092543848318,1,1,6,1
19.0,14.792783871109146,1,1,6,1
20.0,14.888668619086959,1,1,6,1
21.0,14.914123179965662,1,1,6,1
19.0,0.0,2,1,6,1
20.0,12.945151145750263,2,1,6,1
21.0,13.945837697448452,2,1,6,1
17.0,0.0,2,1,6,1
18.0,9.287394001418473,2,1,6,1
19.0,9.913487387114461,2,1,6,1
20.0,10.419330568113901,2,1,6,1
21.0,0.0,2,1,6,1
17.0,16.74622424850276,0,1,1,0
18.0,16.72813297912832,0,1,1,0
19.0,16.77909152313487,0,1,1,0
20.0,16.81683720379564,0,1,1,0
21.0,16.809451277643575,0,1,1,0
17.0,9.957075711706057,2,1,5,0
18.0,10.094975304446326,2,1,5,0
19.0,10.068620562346831,2,1,5,0
20.0,9.151757414543885,2,1,5,0
21.0,9.716615658643356,2,1,5,0
17.0,15.853934903781646,2,1,6,1
18.0,15.755934399002355,2,1,6,1
19.0,15.885873639850885,2,1,6,1
20.0,15.911686421560898,2,1,6,1
21.0,15.919852129746372,2,1,6,1
17.0,6.918695219020472,0,1,2,0
18.0,7.83241092718792,0,1,2,0
19.0,7.828436359157585,0,1,2,0
20.0,7.123672785204607,0,1,2,0
21.0,8.105005537547246,0,1,2,0
17.0,5.860786223465865,2,1,5,1
18.0,5.198497031265826,2,1,5,1
19.0,4.795790545596741,2,1,5,1
20.0,6.647688373563329,2,1,5,1
21.0,0.0,2,1,5,1
18.0,0.0,3,1,0,0
19.0,10.488520429241627,3,1,0,0
20.0,10.468829770273567,3,1,0,0
21.0,10.807725945886109,3,1,0,0
17.0,12.04355959836804,2,0,3,1
18.0,12.04355959836804,2,0,3,1
19.0,12.04355959836804,2,0,3,1
20.0,12.04355959836804,2,0,3,1
21.0,12.04355959836804,2,0,3,1
17.0,11.420821140914589,0,0,1,0
18.0,11.177186959102759,0,0,1,0
19.0,10.649250902099034,0,0,1,0
20.0,10.290143539657238,0,0,1,0
21.0,9.315690887584008,0,0,1,0
17.0,10.757924157061597,2,0,0,1
18.0,10.757924157061597,2,0,0,1
19.0,10.757924157061597,2,0,0,1
20.0,10.757924157061597,2,0,0,1
21.0,10.757924157061597,2,0,0,1
17.0,12.51894354889906,2,0,5,1
18.0,11.929950169425076,2,0,5,1
19.0,12.596024712896508,2,0,5,1
20.0,12.745707275948131,2,0,5,1
21.0,13.021406484883354,2,0,5,1
17.0,13.123748417792907,3,0,2,1
18.0,13.718730899004118,3,0,2,1
19.0,13.15424375454887,3,0,2,1
20.0,13.71390520507127,3,0,2,1
21.0,12.826925976651044,3,0,2,1
17.0,15.267181994786561,2,0,5,1
18.0,15.953959296486643,2,0,5,1
19.0,15.635695177384404,2,0,5,1
20.0,15.388284693495642,2,0,5,1
21.0,15.676485251734785,2,0,5,1
17.0,10.280072961093643,3,0,2,1
18.0,10.31751589130478,3,0,2,1
19.0,10.267157970987247,3,0,2,1
20.0,10.149526981327242,3,0,2,1
21.0,10.440945370102789,3,0,2,1
17.0,9.61092693263324,0,0,1,0
18.0,9.768240403128102,0,0,1,0
19.0,9.798015919593894,0,0,1,0
20.0,9.688932018408451,0,0,1,0
21.0,10.872503553033164,0,0,1,0
17.0,9.072915696064511,3,0,2,0
18.0,8.006700845440367,3,0,2,0
19.0,7.650168700845001,3,0,2,0
20.0,9.55400099583723,3,0,2,0
21.0,9.787009914477434,3,0,2,0
17.0,11.920621416229752,3,0,2,1
18.0,11.862137631527593,3,0,2,1
19.0,12.09991736968968,3,0,2,1
20.0,11.811896081379363,3,0,2,1
21.0,10.755517058156265,3,0,2,1
17.0,14.731801689838349,3,0,0,1
18.0,14.731801689838349,3,0,0,1
19.0,14.711598990684092,3,0,0,1
20.0,14.711598990684092,3,0,0,1
21.0,14.711598990684092,3,0,0,1
17.0,13.160826111056023,3,0,2,1
18.0,13.291743216940151,3,0,2,1
19.0,13.357198317308123,3,0,2,1
20.0,13.018277604472203,3,0,2,1
21.0,13.104286979316816,3,0,2,1
17.0,10.463131911491967,0,0,1,0
18.0,10.463131911491967,0,0,1,0
19.0,10.463131911491967,0,0,1,0
20.0,10.463131911491967,0,0,1,0
21.0,10.463131911491967,0,0,1,0
17.0,5.799092654460526,0,0,0,0
18.0,6.297109319933935,0,0,0,0
19.0,3.9318256327243257,0,0,0,0
20.0,7.124478262493424,0,0,0,0
21.0,3.970291913552122,0,0,0,0
17.0,12.994532278619134,0,0,4,0
18.0,13.217675375388819,0,0,4,0
19.0,13.017005083966255,0,0,4,0
20.0,12.971542813248437,0,0,4,0
21.0,12.73670383776449,0,0,4,0
17.0,10.463131911491967,2,0,1,1
18.0,10.819798284210286,2,0,1,1
19.0,11.002116507732017,2,0,1,1
20.0,10.819798284210286,2,0,1,1
21.0,11.002116507732017,2,0,1,1
17.0,12.190964083849375,0,0,3,1
18.0,12.075935485973666,0,0,3,1
19.0,12.283038316285214,0,0,3,1
20.0,13.167338655091122,0,0,3,1
21.0,13.215855541983634,0,0,3,1
17.0,11.667413230834747,3,0,6,1
18.0,11.249012001112806,3,0,6,1
19.0,11.241851379898469,3,0,6,1
20.0,10.787833437827631,3,0,6,1
21.0,11.114147945011881,3,0,6,1
17.0,8.394347361417392,0,0,2,0
18.0,7.933796874815411,0,0,2,0
19.0,4.02535169073515,0,0,2,0
20.0,5.799092654460526,0,0,2,0
21.0,0.0,0,0,2,0
17.0,14.141879066253242,3,0,0,1
18.0,13.926876604269017,3,0,0,1
19.0,14.039568890738309,3,0,0,1
20.0,13.915668061398915,3,0,0,1
21.0,14.113388970610403,3,0,0,1
17.0,11.949701884086423,3,0,2,1
18.0,11.732069026983156,3,0,2,1
19.0,9.210440366976517,3,0,2,1
20.0,10.373522431293592,3,0,2,1
21.0,10.373522431293592,3,0,2,1
17.0,13.616106726357794,0,0,1,0
18.0,13.331375549451328,0,0,1,0
19.0,13.659020477204585,0,0,1,0
20.0,13.722403549394869,0,0,1,0
21.0,13.61797383536384,0,0,1,0
17.0,10.275085591132715,1,0,6,1
18.0,10.491301994830229,1,0,6,1
19.0,9.741027444837728,1,0,6,1
20.0,10.12667110305036,1,0,6,1
21.0,8.764209507142004,1,0,6,1
17.0,13.217675375388819,0,0,1,0
18.0,13.217675375388819,0,0,1,0
19.0,13.122365377402328,0,0,1,0
20.0,13.122365377402328,0,0,1,0
21.0,13.122365377402328,0,0,1,0
17.0,11.438977480017872,3,0,2,1
18.0,10.6735494768642,3,0,2,1
19.0,10.714439990727769,3,0,2,1
20.0,0.0,3,0,2,1
21.0,0.0,3,0,2,1
17.0,12.530862623805836,0,0,1,0
18.0,12.439934549524953,0,0,1,0
19.0,12.368574074874822,0,0,1,0
20.0,12.308304271313366,0,0,1,0
21.0,12.314962924238245,0,0,1,0
17.0,14.771406928898227,3,0,0,1
18.0,13.526896050930452,3,0,0,1
19.0,13.08320874206786,3,0,0,1
20.0,12.56863373209213,3,0,0,1
21.0,12.654600435941708,3,0,0,1
17.0,11.472113887062386,2,0,5,1
18.0,11.156264806643742,2,0,5,1
19.0,11.088292827848269,2,0,5,1
20.0,10.819798284210286,2,0,5,1
21.0,11.002116507732017,2,0,5,1
17.0,8.517393171418904,0,0,1,0
18.0,9.90353755128617,0,0,1,0
19.0,9.90353755128617,0,0,1,0
20.0,9.90353755128617,0,0,1,0
21.0,9.90353755128617,0,0,1,0
17.0,11.745718311731984,0,0,1,0
18.0,11.77894458078575,0,0,1,0
19.0,11.578291768401481,0,0,1,0
20.0,11.719695702166494,0,0,1,0
21.0,11.886989341272054,0,0,1,0
17.0,9.611194867526663,3,0,2,1
18.0,10.360564237707871,3,0,2,1
19.0,10.279695479577175,3,0,2,1
20.0,10.091335477455614,3,0,2,1
21.0,10.213725810701272,3,0,2,1
17.0,10.227778757855184,2,0,6,1
18.0,10.629972792706583,2,0,6,1
19.0,10.425342133149853,2,0,6,1
20.0,9.875807983429386,2,0,6,1
21.0,10.691899457321854,2,0,6,1
17.0,12.92684715258224,3,0,0,0
18.0,12.93468831614306,3,0,0,0
19.0,12.393340283605886,3,0,0,0
20.0,12.388398368982115,3,0,0,0
21.0,12.03511230501042,3,0,0,0
17.0,14.603968372873895,0,0,1,0
18.0,14.603968372873895,0,0,1,0
19.0,14.603968372873895,0,0,1,0
20.0,14.603968372873895,0,0,1,0
21.0,14.603968372873895,0,0,1,0
17.0,8.517393171418904,3,0,2,0
18.0,7.0909098220799835,3,0,2,0
19.0,6.90875477931522,3,0,2,0
20.0,0.0,3,0,2,0
21.0,0.0,3,0,2,0
17.0,11.383966460172834,0,0,1,0
18.0,11.385103457032141,0,0,1,0
19.0,11.289794413577894,0,0,1,0
20.0,11.141876276228,0,0,1,0
21.0,11.002116507732017,0,0,1,0
17.0,11.523519153181098,2,0,3,1
18.0,11.229222133487319,2,0,3,1
19.0,11.532218158350638,2,0,3,1
20.0,12.13228077725651,2,0,3,1
21.0,12.965447544729928,2,0,3,1
17.0,9.963547308963792,3,0,1,0
18.0,10.33572441114172,3,0,1,0
19.0,10.292823278714408,3,0,1,0
20.0,9.48158813796454,3,0,1,0
21.0,10.189643460991862,3,0,1,0
17.0,9.99884318585288,0,0,1,0
18.0,10.239995502805316,0,0,1,0
19.0,10.12667110305036,0,0,1,0
20.0,10.223322148004318,0,0,1,0
21.0,10.239995502805316,0,0,1,0
17.0,5.916202062607435,0,0,2,0
18.0,5.942799375126701,0,0,2,0
19.0,4.61512051684126,0,0,2,0
20.0,5.351858133476067,0,0,2,0
21.0,5.484796933490655,0,0,2,0
17.0,7.799753318287247,2,0,3,1
18.0,7.81156848934518,2,0,3,1
19.0,7.798933310041217,2,0,3,1
20.0,8.019941687677365,2,0,3,1
21.0,8.006700845440367,2,0,3,1
17.0,6.2166061010848646,0,0,1,0
18.0,6.364750756851911,0,0,1,0
19.0,6.523562306149512,0,0,1,0
20.0,6.698268054115413,0,0,1,0
21.0,6.8885724595653635,0,0,1,0
17.0,11.47703918640582,3,0,2,1
18.0,11.9318265711041,3,0,2,1
19.0,11.769697197264422,3,0,2,1
20.0,11.878304418872348,3,0,2,1
21.0,11.988892527548844,3,0,2,1
17.0,12.899222326086994,3,0,0,1
18.0,12.54254845357358,3,0,0,1
19.0,12.948012371209098,3,0,0,1
20.0,12.948012371209098,3,0,0,1
21.0,12.206077645517674,3,0,0,1
17.0,10.315365388416483,3,0,2,1
18.0,9.931248623321519,3,0,2,1
19.0,9.77984991207795,3,0,2,1
20.0,10.479398422958052,3,0,2,1
21.0,9.274816391160547,3,0,2,1
17.0,6.990256500493881,0,0,0,0
18.0,1.6094379124341003,0,0,0,0
19.0,2.1972245773362196,0,0,0,0
20.0,7.60688453121963,0,0,0,0
21.0,10.163387243975457,0,0,0,0
17.0,13.551546314212295,0,0,4,0
18.0,13.771559715366624,0,0,4,0
19.0,13.551546314212295,0,0,4,0
20.0,13.619496890582589,0,0,4,0
21.0,13.813509557297108,0,0,4,0
17.0,10.224048153553849,0,0,2,0
18.0,10.116055377478153,0,0,2,0
19.0,9.967822928041022,0,0,2,0
20.0,9.974784434418162,0,0,2,0
21.0,10.207178299632961,0,0,2,0
17.0,10.06330784398357,3,0,1,1
18.0,0.0,3,0,1,1
19.0,0.0,3,0,1,1
20.0,0.0,3,0,1,1
21.0,0.0,3,0,1,1
17.0,11.162232592709044,3,0,2,1
18.0,11.191217695205982,3,0,2,1
19.0,11.45752902734985,3,0,2,1
20.0,11.498583103254353,3,0,2,1
21.0,11.959807590537382,3,0,2,1
17.0,11.164091131524941,0,0,1,0
18.0,11.019563133080542,0,0,1,0
19.0,11.046786358826644,0,0,1,0
20.0,10.989537936492082,0,0,1,0
21.0,10.932803352201582,0,0,1,0
17.0,11.407576060361786,0,0,1,0
18.0,11.407576060361786,0,0,1,0
19.0,11.407576060361786,0,0,1,0
20.0,11.407576060361786,0,0,1,0
21.0,11.407576060361786,0,0,1,0
17.0,8.294299608857235,1,0,6,1
18.0,8.517393171418904,1,0,6,1
19.0,8.517393171418904,1,0,6,1
20.0,8.517393171418904,1,0,6,1
21.0,8.517393171418904,1,0,6,1
17.0,10.945917421515245,0,0,1,0
18.0,10.974060384172992,0,0,1,0
19.0,10.893084506677013,0,0,1,0
20.0,10.84957006921802,0,0,1,0
21.0,10.97712385513406,0,0,1,0
17.0,11.478240848158366,3,0,2,1
18.0,11.477640197780953,3,0,2,1
19.0,11.419756990077763,3,0,2,1
20.0,11.355183343630648,3,0,2,1
21.0,11.460167941227157,3,0,2,1
17.0,7.249215057114389,2,0,6,1
18.0,7.3453648404168685,2,0,6,1
19.0,6.826545223556594,2,0,6,1
20.0,6.834108738813838,2,0,6,1
21.0,6.638567789166521,2,0,6,1
17.0,11.608244735642321,0,0,1,0
18.0,11.506917452956234,0,0,1,0
19.0,11.597275804538212,0,0,1,0
20.0,11.652696102959753,0,0,1,0
21.0,11.700242855114809,0,0,1,0
17.0,0.0,1,0,6,1
18.0,10.440010162389305,1,0,6,1
19.0,11.19051391199735,1,0,6,1
20.0,10.470447732845688,1,0,6,1
21.0,11.197049658147666,1,0,6,1
17.0,8.347353412124338,3,0,2,0
18.0,8.287276755814599,3,0,2,0
19.0,8.294299608857235,3,0,2,0
20.0,8.294299608857235,3,0,2,0
21.0,8.294299608857235,3,0,2,0
17.0,18.015220650831626,2,2,3,1
18.0,17.994977228909868,2,2,3,1
19.0,17.97953665893203,2,2,3,1
20.0,17.86790403362042,2,2,3,1
21.0,17.879395929883795,2,2,3,1
17.0,13.752827381276918,0,2,1,0
18.0,13.750482316933487,0,2,1,0
19.0,13.750183459314504,0,2,1,0
20.0,13.722771170838913,0,2,1,0
21.0,13.662395508353537,0,2,1,0
17.0,13.528096449606908,2,2,0,1
18.0,13.498469703265616,2,2,0,1
19.0,13.388261390819958,2,2,0,1
20.0,13.257070828201256,2,2,0,1
21.0,13.095610694325117,2,2,0,1
17.0,15.280879927918944,2,2,5,1
18.0,15.306527706436516,2,2,5,1
19.0,15.304621175858552,2,2,5,1
20.0,15.158983792213098,2,2,5,1
21.0,15.1401903855918,2,2,5,1
17.0,18.507632094973808,3,2,2,1
18.0,18.436607644824342,3,2,2,1
19.0,18.3605254663517,3,2,2,1
20.0,18.35732073875866,3,2,2,1
21.0,18.367131443537925,3,2,2,1
17.0,17.390222242838725,2,2,5,1
18.0,17.347831840734163,2,2,5,1
19.0,17.28652223809429,2,2,5,1
20.0,17.23304348510315,2,2,5,1
21.0,17.206269683423713,2,2,5,1
17.0,13.081543466215237,3,2,2,1
18.0,13.036371843833932,3,2,2,1
19.0,13.077786425179415,3,2,2,1
20.0,12.871337193291367,3,2,2,1
21.0,12.781283341160998,3,2,2,1
17.0,11.846192570642494,0,2,1,0
18.0,12.214967964608537,0,2,1,0
19.0,12.013130893574044,0,2,1,0
20.0,11.404404404492716,0,2,1,0
21.0,10.981063453138141,0,2,1,0
17.0,14.740642490983097,3,2,2,0
18.0,14.716688058119669,3,2,2,0
19.0,14.679012562058059,3,2,2,0
20.0,14.657164377820678,3,2,2,0
21.0,14.603968372873895,3,2,2,0
17.0,17.565468436792884,3,2,2,1
18.0,17.578776004509283,3,2,2,1
